player_name,team,class_year,position,games_played,archetype_id,archetype_name,draft_probability,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct
Casey Santoro,Youngstown State Penguins Women's,SR,G,35.0,2,High-Volume Wing/Guard,,547779,644446,741112,11.8,0.357,0.301,0.808,0.184,0.086,0.1,1.1,0.197,0.502
Sarah Baker,Youngstown State Penguins Women's,FR,F,35.0,3,Interior Specialist,,543258,639127,734996,11.5,0.525,0.0,0.764,0.175,0.095,0.7,0.7,0.261,0.544
Sophia Gregory,Youngstown State Penguins Women's,SO,F,35.0,0,Elite Two-Way Big,,525739,618516,711294,10.5,0.552,0.184,0.778,0.231,0.17,1.5,1.7,0.202,0.593
Erica King,Youngstown State Penguins Women's,SO,G,35.0,2,High-Volume Wing/Guard,,514778,605621,696464,9.9,0.372,0.345,0.742,0.163,0.056,0.3,1.3,0.198,0.475
Danielle Cameron,Youngstown State Penguins Women's,FR,G,35.0,2,High-Volume Wing/Guard,,497424,585205,672985,8.9,0.376,0.348,0.66,0.123,0.062,0.2,1.0,0.157,0.524
Paulina Hernandez,Youngstown State Penguins Women's,JR,F,35.0,0,Elite Two-Way Big,,471834,555099,638364,7.4,0.492,0.377,0.706,0.096,0.127,1.8,0.4,0.226,0.572
Hayden Barrier,Youngstown State Penguins Women's,SO,G,32.0,1,Bench Guard/Wing,,558149,656646,755143,3.4,0.275,0.216,0.75,0.08,0.039,0.2,0.8,0.218,0.374
Brooke Adkins,Youngstown State Penguins Women's,FR,G,22.0,1,Bench Guard/Wing,,520297,612114,703931,1.4,0.407,0.3,0.714,0.112,0.106,0.0,0.4,0.135,0.495
Dacia Lewandowski,Youngstown State Penguins Women's,SO,G,31.0,1,Bench Guard/Wing,,505765,595018,684271,0.6,0.296,0.0,0.333,0.169,0.05,0.0,0.4,0.108,0.302
Bella Samz,Youngstown State Penguins Women's,JR,G,13.0,1,Bench Guard/Wing,,507839,597457,687076,0.7,0.231,0.1,1.0,0.273,0.026,0.0,0.2,0.157,0.323
Ciniya Moore,Yale Bulldogs Women's,SO,G,27.0,2,High-Volume Wing/Guard,,647919,762257,876596,17.4,0.371,0.362,0.871,0.098,0.039,0.3,1.2,0.305,0.491
Luisa Vydrova,Yale Bulldogs Women's,JR,F,27.0,4,Efficient Role Player,,525961,618777,711594,10.6,0.466,0.486,0.792,0.156,0.08,0.7,1.0,0.199,0.514
Marisa Chapman,Yale Bulldogs Women's,SO,G,27.0,1,Bench Guard/Wing,,484837,570396,655956,8.2,0.392,0.156,0.618,0.154,0.101,0.3,1.3,0.202,0.428
Kiley Capstraw,Yale Bulldogs Women's,SR,G,25.0,1,Bench Guard/Wing,,494064,581252,668440,8.7,0.382,0.0,0.769,0.248,0.102,0.3,1.7,0.193,0.423
Ke'iara Odume,Yale Bulldogs Women's,SO,G,27.0,1,Bench Guard/Wing,,434274,510911,587548,5.2,0.317,0.25,0.467,0.05,0.058,0.1,0.3,0.202,0.371
Dorka Kastl,Yale Bulldogs Women's,FR,F,16.0,1,Bench Guard/Wing,,540207,635537,730868,2.4,0.308,0.105,0.5,0.18,0.115,2.4,1.1,0.107,0.344
Ana Guillen,Yale Bulldogs Women's,JR,F,18.0,1,Bench Guard/Wing,,525918,618727,711535,1.7,0.452,0.0,1.0,0.174,0.074,0.3,0.6,0.122,0.469
Olivia Kim,Yale Bulldogs Women's,FR,G,14.0,1,Bench Guard/Wing,,525476,618207,710938,1.6,0.292,0.368,0.333,0.064,0.093,0.0,0.6,0.141,0.428
Magdalena Schmidt,Yale Bulldogs Women's,SO,G,10.0,1,Bench Guard/Wing,,522826,615090,707353,1.5,0.267,0.286,0.6,0.133,0.037,0.1,0.2,0.119,0.432
Mariyah Noel,Xavier Musketeers Women's,JR,G,30.0,2,High-Volume Wing/Guard,,602185,708453,814720,14.9,0.373,0.316,0.762,0.184,0.106,0.4,1.0,0.306,0.459
MacKenzie Givens,Xavier Musketeers Women's,SO,G,29.0,4,Efficient Role Player,,545838,642162,738487,11.7,0.489,0.316,0.833,0.065,0.084,0.5,1.1,0.205,0.562
Meri Kanerva,Xavier Musketeers Women's,SO,G,30.0,1,Bench Guard/Wing,,518593,610110,701626,10.1,0.363,0.298,0.794,0.226,0.037,0.1,1.1,0.186,0.452
Vivien Nejašmić,Xavier Musketeers Women's,SO,G,30.0,1,Bench Guard/Wing,,462218,543785,625353,6.9,0.435,0.262,0.719,0.137,0.093,0.2,0.3,0.21,0.5
Savannah White,Xavier Musketeers Women's,SR,F,29.0,3,Interior Specialist,,463907,545773,627639,7.0,0.45,0.095,0.521,0.177,0.137,1.4,1.5,0.165,0.47
Audia Young,Xavier Musketeers Women's,JR,G,29.0,1,Bench Guard/Wing,,550627,647796,744966,3.0,0.27,0.215,0.731,0.088,0.044,0.0,0.4,0.149,0.387
Lucía Martínez López,Xavier Musketeers Women's,SO,G,21.0,4,Efficient Role Player,,523268,615609,707951,1.5,0.393,0.6,1.0,0.064,0.098,0.2,0.1,0.101,0.511
Malene Pedersen,Wyoming Cowgirls Women's,SR,G,29.0,2,High-Volume Wing/Guard,,644288,757986,871684,17.2,0.446,0.34,0.867,0.188,0.071,0.1,0.6,0.288,0.551
Henna Sandvik,Wyoming Cowgirls Women's,SR,G,30.0,1,Bench Guard/Wing,,522662,614897,707131,10.4,0.408,0.318,0.676,0.19,0.076,0.7,0.4,0.214,0.475
Jane Rumpf,Wyoming Cowgirls Women's,FR,F,30.0,0,Elite Two-Way Big,,470773,553851,636928,7.4,0.343,0.329,0.733,0.107,0.116,1.3,0.6,0.228,0.486
Logann Alvar,Wyoming Cowgirls Women's,SR,F,30.0,1,Bench Guard/Wing,,437845,515111,592378,5.4,0.423,0.242,0.81,0.041,0.087,0.2,0.5,0.174,0.471
Payton Muma,Wyoming Cowgirls Women's,JR,G,30.0,1,Bench Guard/Wing,,566053,665945,765837,3.8,0.307,0.183,0.476,0.263,0.073,0.1,0.9,0.187,0.359
Madi Symons,Wyoming Cowgirls Women's,JR,F,28.0,1,Bench Guard/Wing,,553272,650909,748545,3.1,0.416,0.235,0.833,0.161,0.093,0.4,0.4,0.136,0.465
Heidur Karlsdottir,Wyoming Cowgirls Women's,SO,C,29.0,3,Interior Specialist,,547434,644040,740646,2.8,0.569,0.0,0.64,0.135,0.126,0.9,0.1,0.135,0.587
Lana Beslic,Wyoming Cowgirls Women's,SO,G,29.0,1,Bench Guard/Wing,,536572,631262,725951,2.2,0.267,0.143,0.5,0.234,0.09,0.1,0.6,0.161,0.321
Aurore Eyango,Wyoming Cowgirls Women's,SR,G,29.0,1,Bench Guard/Wing,,533377,627502,721627,2.1,0.453,0.5,0.55,0.19,0.081,0.1,1.0,0.145,0.48
Karoline Lundin,Wyoming Cowgirls Women's,SO,G,12.0,4,Efficient Role Player,,527463,620545,713626,1.8,0.5,0.455,1.0,0.075,0.064,0.0,0.0,0.172,0.702
Breezie Williams,Wright State Raiders Women's,JR,G,32.0,2,High-Volume Wing/Guard,,559567,658314,757061,12.5,0.411,0.384,0.739,0.245,0.077,0.2,1.9,0.248,0.482
Claire Henson,Wright State Raiders Women's,SR,G,30.0,3,Interior Specialist,,520336,612161,703985,10.2,0.379,0.214,0.681,0.177,0.126,0.4,1.1,0.235,0.457
Lauren Scott,Wright State Raiders Women's,SR,G,32.0,1,Bench Guard/Wing,,495663,583133,670603,8.8,0.359,0.313,0.756,0.099,0.034,0.0,0.7,0.203,0.46
Ellie Magestro-Kennedy,Wright State Raiders Women's,SO,G,32.0,1,Bench Guard/Wing,,476277,560326,644375,7.7,0.345,0.37,0.75,0.107,0.068,0.2,0.6,0.263,0.464
