PLAYER_NAME,TEAM_ABBREVIATION,archetype_id,old_salary,PTS,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TO,STL,BLK,USG_PCT,FG3A
A'ja Wilson,LVA,0,200000.0,26.9,0.518,0.317,0.844,0.531,0.591,0.062,0.27,0.17,0.14,1.769230769230769,1.8,2.6,0.31,1.6
Aaliyah Edwards,WAS,3,74909.0,7.6,0.49,0.0,0.65,0.49,0.526,0.066,0.205,0.134,0.113,0.9333333333333332,0.7,0.8,0.175,0.2
Aari McDonald,LAS,2,89302.0,8.7,0.403,0.319,0.843,0.479,0.529,0.022,0.074,0.047,0.295,2.055555555555556,0.9,0.2,0.202,3.5
Aerial Powers,ATL,1,201984.0,8.6,0.355,0.389,0.791,0.406,0.465,0.046,0.131,0.087,0.161,1.2727272727272725,0.9,0.2,0.24,2.1
Alanna Smith,MIN,0,150000.0,10.1,0.471,0.398,0.75,0.546,0.575,0.062,0.143,0.105,0.195,1.6842105263157896,1.4,1.5,0.182,3.0
Aliyah Boston,IND,0,83371.0,14.0,0.529,0.269,0.736,0.537,0.566,0.092,0.191,0.143,0.169,1.6,0.9,1.2,0.199,0.7
Allisha Gray,ATL,2,190000.0,15.6,0.403,0.342,0.769,0.471,0.526,0.032,0.099,0.065,0.147,1.5882352941176472,1.1,0.7,0.214,5.1
Alysha Clark,LVA,4,190908.0,6.0,0.443,0.373,0.821,0.565,0.587,0.022,0.121,0.074,0.106,1.2857142857142858,0.8,0.3,0.119,3.2
Alyssa Thomas,CON,3,218000.0,10.6,0.509,0.0,0.628,0.509,0.543,0.077,0.205,0.138,0.403,2.1944444444444446,1.6,0.5,0.182,0.1
Angel Reese,CHI,3,74909.0,13.6,0.391,0.188,0.736,0.395,0.464,0.144,0.251,0.195,0.092,0.8636363636363635,1.3,0.5,0.215,0.5
Ariel Atkins,WAS,2,200000.0,14.9,0.437,0.357,0.848,0.516,0.552,0.03,0.087,0.058,0.191,1.347826086956522,1.5,0.4,0.228,5.5
Arike Ogunbowale,DAL,2,249032.0,22.2,0.383,0.346,0.921,0.46,0.52,0.019,0.102,0.059,0.221,1.8888888888888886,2.1,0.3,0.259,8.5
Azurá Stevens,LAS,0,195000.0,9.6,0.399,0.35,0.815,0.478,0.506,0.04,0.252,0.144,0.132,1.0555555555555556,0.9,0.9,0.197,4.0
Betnijah Laney-Hamilton,NYL,2,185400.0,11.8,0.456,0.402,0.906,0.534,0.575,0.036,0.1,0.069,0.166,1.375,1.1,0.0,0.18,3.6
Breanna Stewart,NYL,0,228094.0,20.4,0.458,0.295,0.845,0.498,0.569,0.049,0.203,0.128,0.189,2.058823529411765,1.7,1.3,0.261,4.1
Bridget Carleton,MIN,4,125000.0,9.6,0.444,0.444,0.789,0.604,0.62,0.034,0.089,0.063,0.116,2.2,1.0,0.3,0.132,5.3
Brionna Jones,CON,3,214466.0,13.7,0.538,0.143,0.738,0.54,0.581,0.081,0.136,0.108,0.099,1.1538461538461537,1.2,0.6,0.215,0.4
Brittney Griner,PHO,0,227900.0,17.8,0.579,0.5,0.777,0.591,0.625,0.07,0.156,0.117,0.159,1.2777777777777777,0.5,1.5,0.252,0.6
Brittney Sykes,WAS,2,195000.0,12.2,0.405,0.271,0.75,0.445,0.49,0.028,0.147,0.089,0.241,1.409090909090909,0.9,0.4,0.278,3.3
Caitlin Clark,IND,2,78066.0,19.2,0.417,0.344,0.906,0.522,0.583,0.01,0.146,0.08,0.383,1.5000000000000002,1.3,0.7,0.262,8.9
Cameron Brink,LAS,0,78066.0,7.5,0.398,0.323,0.84,0.447,0.496,0.056,0.179,0.12,0.141,0.7391304347826088,1.1,2.3,0.196,2.1
Cecilia Zandalasini,MIN,4,100000.0,4.6,0.453,0.443,0.621,0.557,0.569,0.011,0.086,0.049,0.151,1.375,0.4,0.2,0.172,1.8
Celeste Taylor,PHO,1,66079.0,2.6,0.339,0.2,0.556,0.387,0.415,0.02,0.063,0.043,0.128,1.3,0.7,0.5,0.126,1.4
Chelsea Gray,LVA,2,196267.0,8.6,0.408,0.338,0.813,0.471,0.513,0.008,0.098,0.056,0.289,2.041666666666667,1.3,0.7,0.186,2.9
Chennedy Carter,CHI,2,86701.0,17.5,0.487,0.29,0.73,0.496,0.53,0.023,0.108,0.064,0.226,1.823529411764706,1.1,0.2,0.284,0.9
Cheyenne Parker-Tyus,ATL,3,200000.0,9.2,0.444,0.214,0.899,0.452,0.531,0.062,0.176,0.12,0.147,0.7142857142857143,0.8,0.4,0.231,0.6
Courtney Vandersloot,NYL,1,200000.0,6.4,0.445,0.269,0.548,0.495,0.503,0.019,0.093,0.057,0.331,2.6666666666666665,0.8,0.5,0.158,2.2
Courtney Williams,MIN,2,190550.0,11.1,0.443,0.333,0.81,0.469,0.487,0.014,0.152,0.087,0.362,2.2,0.9,0.4,0.233,1.7
Crystal Dangerfield,LAS,1,80000.0,3.2,0.282,0.274,0.882,0.347,0.383,0.004,0.074,0.037,0.255,2.3749999999999996,0.3,0.2,0.156,1.9
Damiris Dantas,IND,4,129150.0,4.5,0.459,0.394,0.667,0.547,0.561,0.021,0.181,0.105,0.086,1.0,0.3,0.3,0.186,1.7
Dana Evans,CHI,1,89000.0,7.2,0.377,0.376,0.96,0.458,0.509,0.006,0.055,0.029,0.227,1.7142857142857144,0.7,0.1,0.188,2.8
DeWanna Bonner,CON,2,234350.0,15.0,0.415,0.294,0.832,0.472,0.524,0.018,0.182,0.098,0.111,1.4285714285714286,1.2,0.7,0.217,4.9
Dearica Hamby,LAS,0,202000.0,17.3,0.512,0.341,0.631,0.541,0.566,0.045,0.239,0.14,0.206,1.1666666666666667,1.7,0.2,0.234,2.2
Destanni Henderson,ATL,1,80823.0,4.0,0.345,0.1,0.429,0.362,0.374,0.0,0.109,0.054,0.214,1.4705882352941178,0.3,0.2,0.165,1.7
DiJonai Carrington,CON,2,200000.0,12.7,0.403,0.25,0.79,0.434,0.498,0.046,0.137,0.089,0.093,0.8421052631578948,1.6,0.4,0.217,2.7
Diamond DeShields,CHI,1,154500.0,4.5,0.348,0.173,0.611,0.376,0.404,0.015,0.094,0.052,0.178,1.4444444444444444,0.6,0.3,0.194,1.6
Diamond Miller,MIN,1,83371.0,2.9,0.304,0.192,0.583,0.341,0.383,0.039,0.129,0.083,0.119,0.6666666666666666,0.3,0.0,0.201,1.2
Diana Taurasi,PHO,2,234936.0,14.9,0.4,0.333,0.857,0.5,0.554,0.013,0.111,0.064,0.2,1.7894736842105263,0.6,0.3,0.228,7.2
Dorka Juhász,MIN,4,73258.0,4.8,0.479,0.324,0.65,0.517,0.53,0.059,0.175,0.117,0.107,1.8333333333333335,0.4,0.4,0.136,1.0
Elizabeth Williams,CHI,3,119000.0,10.0,0.487,0.0,0.667,0.487,0.52,0.089,0.155,0.12,0.097,0.9411764705882354,1.7,1.7,0.166,0.0
