player_name,team,class_year,position,games_played,archetype_id,archetype_name,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct,Player,Draft_Prob
Casey Santoro,Youngstown State Penguins Women's,SR,G,35.0,2,High-Volume Wing/Guard,547779,644446,741112,11.8,0.357,0.301,0.808,0.184,0.086,0.1,1.1,0.197,0.502,Casey Santoro,2.041696823104507e-05
Savannah White,Xavier Musketeers Women's,SR,F,29.0,3,Interior Specialist,463907,545773,627639,7.0,0.45,0.095,0.521,0.177,0.137,1.4,1.5,0.165,0.47,Savannah White,0.00013203816662549442
Malene Pedersen,Wyoming Cowgirls Women's,SR,G,29.0,2,High-Volume Wing/Guard,644288,757986,871684,17.2,0.446,0.34,0.867,0.188,0.071,0.1,0.6,0.288,0.551,Malene Pedersen,0.0054377843184675355
Henna Sandvik,Wyoming Cowgirls Women's,SR,G,30.0,1,Bench Guard/Wing,522662,614897,707131,10.4,0.408,0.318,0.676,0.19,0.076,0.7,0.4,0.214,0.475,Henna Sandvik,8.736617683270227e-05
Logann Alvar,Wyoming Cowgirls Women's,SR,F,30.0,1,Bench Guard/Wing,437845,515111,592378,5.4,0.423,0.242,0.81,0.041,0.087,0.2,0.5,0.174,0.471,Logann Alvar,0.00019954975630176656
Claire Henson,Wright State Raiders Women's,SR,G,30.0,3,Interior Specialist,520336,612161,703985,10.2,0.379,0.214,0.681,0.177,0.126,0.4,1.1,0.235,0.457,Claire Henson,2.253974852433122e-05
Lauren Scott,Wright State Raiders Women's,SR,G,32.0,1,Bench Guard/Wing,495663,583133,670603,8.8,0.359,0.313,0.756,0.099,0.034,0.0,0.7,0.203,0.46,Lauren Scott,3.5921408831228376e-05
Destiny Howell,Wisconsin Badgers Women's,SR,G,33.0,2,High-Volume Wing/Guard,587259,690892,794526,14.0,0.429,0.389,0.797,0.101,0.056,0.3,0.7,0.257,0.54,Destiny Howell,0.0021133568778307034
Ronnie Porter,Wisconsin Badgers Women's,SR,G,34.0,1,Bench Guard/Wing,447953,527003,606054,6.0,0.367,0.318,0.805,0.287,0.079,0.1,1.6,0.136,0.476,Ronnie Porter,0.0006285858781608303
Mya Pierfax,Winthrop Eagles Women's,SR,G,32.0,1,Bench Guard/Wing,508661,598425,688189,9.6,0.369,0.292,0.781,0.089,0.041,0.1,0.9,0.197,0.478,Mya Pierfax,3.765526269080715e-05
Cori Lard,Winthrop Eagles Women's,SR,G,32.0,2,High-Volume Wing/Guard,502155,590771,679386,9.2,0.392,0.286,0.708,0.22,0.048,0.3,1.8,0.189,0.484,Cori Lard,8.259864838598002e-06
Alexa Mikeska,William & Mary Tribe Women's,SR,G,31.0,4,Efficient Role Player,451292,530932,610571,6.2,0.475,0.286,0.827,0.242,0.091,0.3,1.9,0.119,0.582,Alexa Mikeska,1.4920936867673732e-05
Abby Cater,Wichita State Shockers Women's,SR,G,30.0,0,Elite Two-Way Big,570142,670756,771369,13.1,0.414,0.269,0.797,0.119,0.1,0.5,2.4,0.285,0.501,Abby Cater,0.00011814242315806181
Jaila Harding,Wichita State Shockers Women's,SR,G,31.0,2,High-Volume Wing/Guard,539390,634577,729763,11.3,0.351,0.333,0.814,0.086,0.03,0.1,0.6,0.18,0.497,Jaila Harding,2.600556820949725e-05
Treasure Thompson,Wichita State Shockers Women's,SR,F,29.0,3,Interior Specialist,448625,527794,606963,6.1,0.452,0.0,0.436,0.125,0.111,1.0,1.1,0.202,0.453,Treasure Thompson,4.8371430386814845e-05
Taya Davis,Wichita State Shockers Women's,SR,G,31.0,1,Bench Guard/Wing,570331,670977,771624,4.1,0.261,0.157,0.61,0.275,0.064,0.1,1.0,0.161,0.34,Taya Davis,4.469667544543382e-05
Alli Carlson,Western Michigan Broncos Women's,SR,G,28.0,2,High-Volume Wing/Guard,520004,611770,703535,10.2,0.351,0.344,0.655,0.297,0.066,0.0,1.6,0.197,0.466,Alli Carlson,1.4450428621837984e-05
